pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
zjqnqaarh4f61,True,True,False,False,2017.0
GNko7TU,True,True,False,False,106.0
wxsxloh0owd61,False,False,False,True,1696.0
r3y04xv61xe61,True,True,False,False,938.0
pqaimz1vkpe61,False,False,False,True,1417.0
o5v0e13qlge61,False,False,False,True,51102.0
usqNSLL,False,False,False,True,21770.0
wua8z4qzpg161,True,False,False,False,10795.0
qcs14wez43e61,False,False,False,True,1926.0
jf6mh4zlg3f61,False,True,False,False,2564.0
vps22eiiice61,True,True,False,False,1595.0
da4uf5mr43f61,True,True,False,False,11421.0
mgim5ooumwd61,True,False,False,False,837.0
xfgukof583e61,False,False,True,False,420.0
4xl9wriylhf61,False,False,True,False,733.0
6m1rtgmfxde61,True,False,False,False,4218.0
1tfzp6mzuld61,True,False,False,False,71866.0
gnnlbcjexke61,False,True,True,False,712.0
qwshs784nre61,True,True,False,False,336.0
q1ft3xwbvfe61,True,True,False,False,650.0
pl1s6plpw3f61,False,True,False,False,112.0
nmrl9nz3h2f61,False,True,False,True,4429.0
xpy312iothd61,True,True,False,False,1206.0
q9egnhn7qk461,True,False,False,False,20980.0
9j3jz8678we61,True,True,False,False,316.0
SswJEi5,False,False,False,True,137.0
1pw6hpjm9jc61,True,True,False,False,2733.0
bRhDYZx,False,True,True,False,342.0
9iyk7kntuue61,False,False,False,True,151.0
dijx8qqn4ae61,True,False,False,False,122224.0
kxjv9i88oxe61,True,False,False,False,6050.0
kscld70dt2e61,False,True,False,False,448.0
bm704r3m9ye61,True,True,True,False,5009.0
vi1q4yt340d61,True,True,False,False,14335.0
yyu5nyo46we61,False,False,False,True,1500.0
fzuhp9b6ccf61,False,False,True,False,282.0
btt3j9p1a3f61,True,True,False,False,3378.0
7c90udrn7re61,False,False,False,True,10671.0
u2071sau7pc61,True,False,False,False,401.0
obysfzvx53e61,True,True,False,False,764.0
inkZBsx,False,False,False,True,103137.0
sgsq0h5sqbe61,False,True,False,False,38640.0
eg6rq85g0we61,False,True,True,False,104.0
al7xxm2jqh161,False,False,False,True,58337.0
rvhfo639gkd61,True,False,False,False,2241810.0
gs6oopeo7ye61,True,True,False,False,316.0
kam0zqm4m3e61,True,True,False,False,17136.0
5twlusklhe861,False,False,False,True,4326.0
0i3s0fa5vwd61,False,True,False,False,310.0
9xkjajpfa4f61,True,False,False,False,1906.0
rk61hmzlhye61,True,False,True,False,23918.0
xhir7zol4yc61,False,True,False,False,420.0
p9mfe3x7b4e61,False,True,True,False,5000.0
br1bcv96gae61,False,True,True,False,314.0
uyhg2l6ky3f61,False,True,True,False,358.0
